Arquivo,Modelo,Analise
pipes/assistant-ui-ollama-openai-screenpipe/app/api/chat/route.ts,BART-Large,"Analyze the following source code and identify possible CODE SMELLS. For each smell, explain WHY it is a problem. The code is based on Refactoring Guru classification. For more information, visit the Refactored Guru website. The source code is available on GitHub."
pipes/assistant-ui-ollama-openai-screenpipe/app/api/click-by-index/route.ts,BART-Large,"Analyze the following source code and identify possible CODE SMELLS. For each smell, explain WHY it is a problem. The code is based on Refactoring Guru classification. For example, the code for the click-by-index function has the following code:"
pipes/assistant-ui-ollama-openai-screenpipe/app/api/component-source/route.ts,BART-Large,"Analyze the following source code and identify possible CODE SMELLS. For each smell, explain WHY it is a problem. For example, the code that says 'NextResponse' is not working. For more information on Refactoring Guru, visit: http://www.refactoringguru.org/guru/refactored."
pipes/assistant-ui-ollama-openai-screenpipe/app/api/fetch-external/route.ts,BART-Large,"Analyze the following source code and identify possible CODE SMELLS. For each smell, explain WHY it is a problem. The code is based on Refactoring Guru classification. For example, the code for fetching content from external URLs has a smell of ""fetch-external"""
pipes/assistant-ui-ollama-openai-screenpipe/app/api/get-interactive-list/route.ts,BART-Large,"Analyze the following source code and identify possible CODE SMELLS. For each smell, explain WHY it is a problem. For more information on Refactoring Guru classification, visit their site: http://www.refactoringguru.com/guru-classifications."
pipes/assistant-ui-ollama-openai-screenpipe/app/api/get-text/route.ts,BART-Large,"Analyze the following source code and identify possible CODE SMELLS based on Refactoring Guru classification. For each smell, explain WHY it is a problem. For example, the code for the GET function may contain the word ""app"" for the first time. For more information, see the README."
pipes/assistant-ui-ollama-openai-screenpipe/app/api/locator/route.ts,BART-Large,"Analyze the following source code and identify possible CODE SMELLS. For each smell, explain WHY it is a problem. For more information on Refactoring Guru, visit their website. For the full code analysis, see the README.html and the READYM README files."
pipes/assistant-ui-ollama-openai-screenpipe/app/api/log/route.ts,BART-Large,"Analyze the following source code and identify possible CODE SMELLS. For each smell, explain WHY it is a problem. The code is based on Refactoring Guru classification. The source code is available on GitHub at: http://www.junit.org/junit/source/code."
pipes/assistant-ui-ollama-openai-screenpipe/app/api/press-key-by-index/route.ts,BART-Large,"Analyze the following source code and identify possible CODE SMELLS. For each smell, explain WHY it is a problem. The code is based on Refactoring Guru classification. For example, the code for the pressKeyByIndex function contains the word ""press"" in the name of the function."
pipes/assistant-ui-ollama-openai-screenpipe/app/api/settings/route.ts,BART-Large,"Analyze the following source code and identify possible CODE SMELLS. For each smell, explain WHY it is a problem. For example, the code that imports the pipe name can smell like this:. The code that loads the persisted settings for the pipe could smell like the following:."
pipes/assistant-ui-ollama-openai-screenpipe/app/api/type-by-index/route.ts,BART-Large,"Analyze the following source code and identify possible CODE SMELLS. For each smell, explain WHY it is a problem. The code is based on Refactoring Guru classification. For more information, visit the Refactored Guru website. The source code is available on GitHub."
pipes/assistant-ui-ollama-openai-screenpipe/app/assistant.tsx,BART-Large,"Analyze the following source code and identify possible CODE SMELLS based on Refactoring Guru classification. For each smell, explain WHY it is a problem. Source code:  ""use client"";import { AssistantRuntimeProvider } from ""@assistant-ui/react""; importing { useChatRuntime }); importing { ThreadList; importing AIPresetsSelector; importing ThreadList."
pipes/assistant-ui-ollama-openai-screenpipe/app/hello-world-mcp-client/WIP-interface.ts,BART-Large,"Analyze the following source code and identify possible CODE SMELLS based on Refactoring Guru classification. For each smell, explain WHY it is a problem. For example, startChatLoop() could cause a problem for the desktop control client. For more information on the Refactored Guru, visit their website."
pipes/assistant-ui-ollama-openai-screenpipe/app/hello-world-mcp-client/WIP-tool-execution-logic.ts,BART-Large,"Analyze the following source code and identify possible CODE SMELLS based on Refactoring Guru classification. For each smell, explain WHY it is a problem. For more information on the Refactored Guru classification, visit: http://www.refactoringguru.com/guru/refactored-guru-classification."
